Task Name,Parent Task,Priority,Tags,Time Estimate,Status,Description
[Етап 0] Стабілізація і базова лінія,,Urgent,milestone,1d,to do,"Зняти ризик відмови сервера і зафіксувати точку відліку до будь-яких змін. Тривалість: 0,5–1 день (задачі 0.1–0.3 ≈ 30–60 хв). Блокер для всіх наступних етапів."
[Етап 1] Критичний шлях головної сторінки,,Urgent,milestone,4d,to do,"Hero/LCP, зображення, скрипти, маркетинговий стек, Fundraise Up. Тривалість: 2–4 дні. Очікування після етапу: mobile score 55–80. Залежить від Етапу 0 (особливо 0.6 і 0.7)."
"[Етап 2] Origin, БД, кеш",,High,milestone,3d,to do,"Чистка БД, апгрейд PHP, ревізія плагінів, edge-кеш. Тривалість: 1–3 дні. Можна вести ПАРАЛЕЛЬНО з Етапом 1 (інші виконавці)."
[Етап 3] Вихід у зелену зону,,High,milestone,2w,to do,"Critical CSS, шрифти, DOM, модульний JS, server-side tagging. Тривалість: 1–2 тижні. Залежить від Етапів 1–2. Ціль: mobile Lighthouse ≥ 90 (медіана 3 прогонів)."
[Етап 4] Контроль якості (постійний процес),,High,milestone,,to do,"Не milestone, а процес: Lighthouse CI на реліз, RUM, воронка пожертв, tag governance, інфра-моніторинг. Рекомендація: перевести задачі в recurring tasks."
0.1 Звільнити диск,[Етап 0] Стабілізація і базова лінія,Urgent,devops,30m,to do,"Диск 94% (3,9 ГБ вільно). ДІЇ: перевірити вміст uploads___ (606 МБ), uploads_ (90 МБ), themes___ (23 МБ), languages___ (13 МБ) • переконатися в наявності актуального офсайт-бекапу • видалити каталоги. ACCEPTANCE: +≈730 МБ, вільно ≥ 4,5 ГБ. ЗАБОРОНЕНО: видаляти без перевірки вмісту і відновлюваного бекапу."
0.2 Деактивувати Query Monitor у продакшні,[Етап 0] Стабілізація і базова лінія,Urgent,wp-backend,10m,to do,"Query Monitor профілює кожен запит на проді. ACCEPTANCE: плагін деактивовано, профілювання вимкнене."
0.3 Лишити один backup-плагін,[Етап 0] Стабілізація і базова лінія,Urgent,wp-backend,1h,to do,"Зараз 4 backup-плагіни: Duplicator, Duplicator Pro, All-in-One WP Migration (+Unlimited), WPvivid, сліди UpdraftPlus. ДІЇ: обрати один інструмент з офсайт-розкладом • ПЕРЕД видаленням решти — тестове відновлення чинного бекапу на staging • видалити решту. ACCEPTANCE: рівно один backup-механізм із перевіреним відновленням."
0.4 Аудит бекапів по серверу,[Етап 0] Стабілізація і базова лінія,High,devops,3h,to do,"ДІЇ: знайти й розчистити backup-артефакти поза wp-content • налаштувати ротацію та офсайт-зберігання • алерт диска на 85%. ACCEPTANCE: карта споживання диска, алерти активні. ЗАЛЕЖИТЬ ВІД: 0.3."
0.5 Видалити wp-file-manager,[Етап 0] Стабілізація і базова лінія,Urgent,devops,15m,to do,"Плагін повільний і має відомі вразливості. ACCEPTANCE: плагін видалено, файловий доступ — лише SSH/SFTP."
