Task ID,Task Name,Subtask IDs,Status,Priority,Tags,Task Type,Time Estimate,Description,Checklist
1,[Етап 0] Стабілізація і базова лінія,2|3|4|5|6|7|8,to do,1,milestone,Milestone,8:00,"Зняти ризик відмови сервера і зафіксувати точку відліку до будь-яких змін. Тривалість: 0,5-1 день (задачі 0.1-0.3 разом 30-60 хв). Блокер для всіх наступних етапів.",
2,0.1 Звільнити диск,,to do,1,devops,Task,0:30,"Диск заповнений на 94% (3,9 ГБ вільно). У wp-content ~730 МБ старих копій. ACCEPTANCE: +730 МБ звільнено, вільно не менше 4,5 ГБ (цільове 85% — після 0.4 і 2.1). ЗАБОРОНЕНО: видаляти без перевірки вмісту і відновлюваного бекапу.",Перевірити вміст uploads___ (606 МБ) та uploads_ (90 МБ)|Перевірити themes___ (23 МБ) і languages___ (13 МБ)|Переконатися в наявності актуального офсайт-бекапу|Видалити перелічені каталоги
3,0.2 Деактивувати Query Monitor у продакшні,,to do,1,wp-backend,Task,0:10,"Query Monitor активний у продакшні та профілює кожен запит. ACCEPTANCE: плагін деактивовано, профілювання вимкнене.",
4,0.3 Лишити один backup-плагін,,to do,1,wp-backend,Task,1:00,"Зараз чотири backup-плагіни одночасно: Duplicator, Duplicator Pro, All-in-One WP Migration з Unlimited Extension, WPvivid, сліди UpdraftPlus. ACCEPTANCE: рівно один backup-механізм із перевіреним відновленням. БЛОКУЄ: 0.4, 2.1, 2.2.",Обрати один інструмент з офсайт-розкладом|Тестове відновлення чинного бекапу на staging (ПЕРЕД видаленням решти)|Видалити решту backup-плагінів
5,0.4 Аудит бекапів по серверу,,to do,2,devops,Task,3:00,"ACCEPTANCE: карта споживання диска, алерти активні. ЗАЛЕЖИТЬ ВІД: 0.3.",Знайти й розчистити backup-артефакти поза wp-content|Налаштувати ротацію та офсайт-зберігання|Налаштувати алерт диска на 85%
6,0.5 Видалити wp-file-manager,,to do,1,devops,Task,0:15,"Плагін повільний і має відомі вразливості. ACCEPTANCE: плагін видалено, файловий доступ — лише SSH/SFTP.",
7,0.6 Зафіксувати аналітичну базу,,to do,1,analytics,Task,3:00,"Точка відкату перед будь-якими змінами тегів. ACCEPTANCE: будь-яку зміну тегів можна відкотити й порівняти з базою. БЛОКУЄ: 1.5, 1.6, 1.7.","Експортувати версію GTM-контейнера GTM-KG5B3NH (точка відкату)|Інвентаризація тегів і тригерів: GA4, Ads, Meta x3, TikTok, Clarity, Spotify, чат, попапи, CAPI helper|Підтвердити наявність або відсутність Hotjar|Зняти поточні donation conversions і checkout error rate (базова лінія)"
8,0.7 Вимірювальна база (Lighthouse CI + RUM),,to do,1,qa,Task,4:00,ACCEPTANCE: метрики збираються до початку Етапу 1. Код web-vitals і budget-конфіг — у розд. 8 та 6.5 PDF-аудиту. БЛОКУЄ: 1.8.,"Lighthouse у CI: 3 mobile-прогони, оцінка за медіаною|RUM через web-vitals: LCP, INP, CLS через sendBeacon|Кастомні маркери: hero_visible, donate_click, checkout_form_visible, payment_submit, payment_success, payment_error"
9,[Етап 1] Критичний шлях головної сторінки,10|11|12|13|14|15|16|17,to do,1,milestone,Milestone,32:00,"Hero/LCP, зображення, скрипти, маркетинговий стек, Fundraise Up. Тривалість: 2-4 дні. Очікування після етапу: mobile score 55-80 (зараз 29-34, замір 04.08.2026). Залежить від Етапу 0, особливо 0.6 і 0.7.",
10,1.1 Статичний hero (зупинити автослайдер),,to do,1,frontend,Task,4:00,"Автослайдер робить кожен наступний слайд новим LCP-кандидатом: лабораторний LCP 47-53 с (замір 04.08). ACCEPTANCE: LCP-кандидат не змінюється після першого рендера, лаб. LCP стабільний між прогонами.","Один слайд до першої взаємодії користувача, без автопрокрутки при завантаженні|Інші слайди без реального src (data-src)|Довантаження решти слайдів після взаємодії або в idle"
11,1.2 Оптимізація LCP-ресурсу,,to do,1,frontend,Task,4:00,ACCEPTANCE: preload збігається з фактичним LCP-елементом у трейсі. Заготовка preload — розд. 6.1 PDF. ЗАЛЕЖИТЬ ВІД: 1.1.,"width/height, fetchpriority=high, loading=eager, decoding=async на LCP-зображенні|Умовний preload mobile/desktop через media-query|Зняти fetchpriority=high із зображень нижче фолда|Один семантичний h1, заголовки неактивних слайдів — h2 або поза accessibility tree"
12,"1.3 Зображення, перший прохід",,to do,1,frontend,Task,8:00,"Зображення 12-17 МБ, 58 PNG не конвертовані попри встановлений Smush. Топ (замір 04.08): slider-winter-camp-1920.webp 1,9 МБ, slider-winter-camp768.webp 0,8 МБ, 1920-psycho.webp 0,8 МБ, серія programs-*.png ~2,4 МБ. ACCEPTANCE: сторінка 15-18 МБ -> ~4-5 МБ (проміжна ціль).","Пережати топ-20 найважчих зображень (список у розд. 4.1 PDF)|Конвертувати 58 PNG у WebP/AVIF, з'ясувати чому Smush не відпрацював|Усунути дубль valentines-day/1.png (вантажиться з ?v=2.2 і ?v=4.2)|srcset/sizes і реальні мобільні розміри (слот 100x67 -> ~200x134 для DPR 2)|width/height для всіх unsized img"
13,1.4 Asset allowlist у WordPress (dequeue + defer),,to do,1,wp-backend,Task,8:00,"~100 script-тегів, 53 синхронні, unused JS до 1,2 МБ. УВАГА (замір 04.08): /en/ важча за JS ніж UA-версія (2,6 МБ проти 1,5 МБ, 103 запити проти 79) — перевіряти обидві локалі. Приклад коду dequeue/defer — розд. 6.2 PDF. ACCEPTANCE: синхронних зовнішніх скриптів близько 0 у критичному шляху, регрес-тести пройдені.","Інвентаризація всіх wp_enqueue_*|Умовний dequeue на головній: CF7, WooCommerce (cart/blocks/order-attribution/sourcebuster), filter-for-elementor, cabinet autologin, WayForPay, сезонні gamification-бандли|Fancybox/Lottie замінити нативним CSS за можливості|Лишити один слайдер: Slick або Swiper|Прибрати jQuery Migrate після перевірки сумісності|defer через нативний Script strategy API WordPress 6.3+ (не regex над HTML)|Регрес-тести: навігація, donate-кнопки, слайдер, перемикач мов, попапи, checkout"
14,1.5 Відкласти маркетинговий стек,,to do,1,analytics,Task,8:00,"ACCEPTANCE: third-party main-thread до взаємодії не більше 200 мс, атрибуція не втрачається. ЗАЛЕЖИТЬ ВІД: 0.6.","У head лише мінімальний GTM bootstrap або first-party loader|Meta, TikTok, Clarity, Spotify, live chat, попапи — після consent / першої взаємодії / requestIdleCallback з таймаутом 5-8 с|Clarity/session replay: sampling 5-10% трафіку|Google Consent Mode v2: analytics_storage, ad_storage, ad_user_data, ad_personalization|Збір gclid/fbclid/UTM маленьким first-party кодом одразу, без важких vendor-бібліотек"
15,1.6 Дедуплікація Meta Pixel,,to do,1,analytics,Task,4:00,"Три Pixel ID з повторними PageView, capiParamBuilder завантажений двічі (~63 КБ кожен). ACCEPTANCE: GTM Preview + Meta Pixel Helper + Events Manager показують по одній події, конверсії не подвоюються. ЗАЛЕЖИТЬ ВІД: 0.6.","Один browser PageView на кожен Pixel ID|Один базовий fbevents.js-loader (не окремий на кожен pixel)|Один capiParamBuilder: знайти два ініціатори, лишити один|Client/server дедуплікація через стабільний event_id|Перевірити задвоєння ініціатора між кодом теми і GTM"
16,1.7 GA4 / Google Ads,,to do,1,analytics,Task,4:00,"Зараз GTM + GA4 + окремий gtag/js. ACCEPTANCE: DebugView/Realtime показують одну подію, наскрізна атрибуція на checkout-домені працює. ЗАЛЕЖИТЬ ВІД: 0.6.","Один GA4 PageView|Ads-конверсія лише після реально успішної пожертви|Fundraise Up callback не дублює конверсію через тему і GTM|Cross-domain linker для donorsupport.co, gclid не втрачається на hosted checkout|Enhanced-conversion бібліотеки лише за потреби"
17,1.8 Fundraise Up за наміром,,to do,1,frontend,Task,8:00,"Checkout-бандли ~625 КБ (з них ~550 КБ unused) вантажаться кожному відвідувачу до кліку Donate. ACCEPTANCE: donate_click -> form_visible не більше 300 мс warm / 800 мс cold, payment error rate і conversion tracking без регресій. ЗАЛЕЖИТЬ ВІД: 0.7.","Легка shell-кнопка Donate|preconnect до платіжних origin лише де CTA видимий (не більше 4 глобальних preconnect, розд. 6.3 PDF)|Ініціалізація чек-ауту на pointerenter/touchstart/focus CTA або в idle після LCP|Повний checkout тільки при намірі або кліку|Звичайне посилання на hosted checkout як постійний миттєвий fallback|Chat, попапи, Clarity не блокують відкриття форми"
18,"[Етап 2] Origin, БД, кеш",19|20|21|22,to do,2,milestone,Milestone,24:00,"Чистка БД, апгрейд PHP, ревізія плагінів, edge-кеш. Тривалість: 1-3 дні. Можна вести ПАРАЛЕЛЬНО з Етапом 1 (інші виконавці).",
19,2.1 Чистка БД,,to do,2,wp-backend,Task,4:00,"БД 3,6 ГБ: _elementor_data 1,96 ГБ у postmeta (748 467 рядків), 30 878 ревізій (~1 ГБ), ch_redirection_logs 104 МБ, логи WSAL 18 МБ. ACCEPTANCE: БД 3,6 ГБ -> ~600 МБ, +3 ГБ диска, швидші бекапи та адмінка. ЗАЛЕЖИТЬ ВІД: 0.3. ЗАБОРОНЕНО: масова чистка ревізій без повного дампа.","Повний дамп БД перед стартом|Видалити 30 878 ревізій: WP-CLI, батчами, поза піком трафіку|define('WP_POST_REVISIONS', 5) у wp-config.php|Обрізати ch_redirection_logs і логи WSAL, виставити retention"
20,2.2 Апгрейд PHP 8.0 -> 8.4,,to do,2,devops,Task,8:00,"PHP 8.0 EOL з 11.2023, понад 2,5 роки без security-патчів (OWASP A03). Ціль 8.4 (підтримка до 31.12.2028), мінімум 8.3. ACCEPTANCE: ~10-15% швидший рендер, повернення security-патчів. ЗАЛЕЖИТЬ ВІД: 0.3.",Staging-перевірка сумісності теми і всіх 43 плагінів|Апгрейд на проді
21,2.3 Ревізія 43 плагінів,,to do,2,wp-backend,Task,8:00,"ACCEPTANCE: обґрунтований список активних плагінів, некешований TTFB знижується. ЗАЛЕЖИТЬ ВІД: бізнес-підтвердження щодо WooCommerce.",Отримати бізнес-підтвердження: чи використовується магазин/кошик WooCommerce|Перевірити шорткоди і віджети WooCommerce на всіх локалях|Якщо не використовується — повна деактивація WooCommerce + multilingual|Рішення по решті плагінів за результатами інвентаризації
22,2.4 Edge-кеш анонімного HTML (Cloudflare),,to do,2,devops,Task,4:00,"HTML не кешується на edge: cf-cache-status DYNAMIC, max-age=3 (підтверджено заміром 04.08.2026). WP Super Cache лишається origin-кешем, TTL сторонніх ресурсів не чіпати. ACCEPTANCE: стабільний TTFB на edge, персоналізовані сторінки не кешуються публічно.","Cloudflare cache для анонімних GET/HEAD: TTL 60-300 с + purge при publish/update|Bypass для logged-in, cart, checkout і персоналізованих cookies|Brotli для HTML/CSS/JS|Early Hints лише після чистки resource hints"
